tick,day,hour,S_susceptible,I_total_infect,new_infect,R_total_recov,new_recov
0,0,0,3990,10,10,0,0
1,0,1,3990,10,0,0,0
2,0,2,3990,10,0,0,0
3,0,3,3990,10,0,0,0
4,0,4,3990,10,0,0,0
5,0,5,3990,10,0,0,0
6,0,6,3990,10,0,0,0
7,0,7,3990,10,0,0,0
8,0,8,3990,10,0,0,0
9,0,9,3990,10,0,0,0
10,0,10,3990,10,0,0,0
11,0,11,3990,10,0,0,0
12,0,12,3990,10,0,0,0
13,0,13,3990,10,0,0,0
14,0,14,3989,11,1,0,0
15,0,15,3989,11,0,0,0
16,0,16,3989,11,0,0,0
17,0,17,3989,11,0,0,0
18,0,18,3989,11,0,0,0
19,0,19,3989,11,0,0,0
20,0,20,3988,12,1,0,0
21,0,21,3988,12,0,0,0
22,0,22,3988,12,0,0,0
23,0,23,3988,12,0,0,0
24,1,0,3988,12,0,0,0
25,1,1,3988,12,0,0,0
26,1,2,3988,12,0,0,0
27,1,3,3987,13,1,0,0
28,1,4,3987,13,0,0,0
29,1,5,3987,13,0,0,0
30,1,6,3986,14,1,0,0
31,1,7,3986,14,0,0,0
32,1,8,3986,14,0,0,0
33,1,9,3985,14,1,1,1
34,1,10,3985,14,0,1,0
35,1,11,3985,14,0,1,0
36,1,12,3985,14,0,1,0
37,1,13,3984,15,1,1,0
38,1,14,3984,15,0,1,0
39,1,15,3983,16,1,1,0
40,1,16,3983,16,0,1,0
41,1,17,3983,16,0,1,0
42,1,18,3983,16,0,1,0
43,1,19,3983,16,0,1,0
44,1,20,3982,17,1,1,0
45,1,21,3981,18,1,1,0
46,1,22,3979,20,2,1,0
47,1,23,3979,20,0,1,0
48,2,0,3979,20,0,1,0
49,2,1,3979,20,0,1,0
50,2,2,3978,21,1,1,0
51,2,3,3978,21,0,1,0
52,2,4,3978,21,0,1,0
53,2,5,3978,20,0,2,1
54,2,6,3978,20,0,2,0
55,2,7,3978,20,0,2,0
56,2,8,3978,20,0,2,0
57,2,9,3978,20,0,2,0
58,2,10,3978,20,0,2,0
59,2,11,3978,20,0,2,0
60,2,12,3978,20,0,2,0
61,2,13,3977,21,1,2,0
62,2,14,3977,21,0,2,0
63,2,15,3977,21,0,2,0
64,2,16,3977,21,0,2,0
65,2,17,3977,21,0,2,0
66,2,18,3977,21,0,2,0
67,2,19,3977,21,0,2,0
68,2,20,3976,22,1,2,0
69,2,21,3976,22,0,2,0
70,2,22,3976,22,0,2,0
71,2,23,3976,22,0,2,0
72,3,0,3976,22,0,2,0
73,3,1,3976,22,0,2,0
74,3,2,3976,22,0,2,0
75,3,3,3976,22,0,2,0
76,3,4,3976,22,0,2,0
77,3,5,3976,22,0,2,0
78,3,6,3976,22,0,2,0
79,3,7,3976,22,0,2,0
80,3,8,3975,23,1,2,0
81,3,9,3975,23,0,2,0
82,3,10,3973,25,2,2,0
83,3,11,3973,24,0,3,1
84,3,12,3972,25,1,3,0
85,3,13,3971,26,1,3,0
86,3,14,3971,26,0,3,0
87,3,15,3970,27,1,3,0
88,3,16,3970,27,0,3,0
89,3,17,3970,27,0,3,0
90,3,18,3969,28,1,3,0
91,3,19,3969,28,0,3,0
92,3,20,3967,30,2,3,0
93,3,21,3967,29,0,4,1
94,3,22,3967,29,0,4,0
95,3,23,3967,29,0,4,0
96,4,0,3966,30,1,4,0
97,4,1,3964,32,2,4,0
98,4,2,3964,32,0,4,0
99,4,3,3964,32,0,4,0
100,4,4,3964,32,0,4,0
101,4,5,3963,33,1,4,0
102,4,6,3963,33,0,4,0
103,4,7,3963,33,0,4,0
104,4,8,3962,34,1,4,0
105,4,9,3961,35,1,4,0
106,4,10,3961,35,0,4,0
107,4,11,3959,37,2,4,0
108,4,12,3959,37,0,4,0
109,4,13,3959,36,0,5,1
110,4,14,3958,37,1,5,0
111,4,15,3958,36,0,6,1
112,4,16,3958,35,0,7,1
113,4,17,3958,35,0,7,0
114,4,18,3956,37,2,7,0
115,4,19,3955,38,1,7,0
116,4,20,3954,39,1,7,0
