tick,day,hour,S_susceptible,I_total_infect,new_infect,R_total_recov,new_recov
0,0,0,3990,10,10,0,0
1,0,1,3989,11,1,0,0
2,0,2,3989,11,0,0,0
3,0,3,3989,11,0,0,0
4,0,4,3988,12,1,0,0
5,0,5,3987,13,1,0,0
6,0,6,3985,15,2,0,0
7,0,7,3984,16,1,0,0
8,0,8,3983,17,1,0,0
9,0,9,3983,17,0,0,0
10,0,10,3983,17,0,0,0
11,0,11,3983,17,0,0,0
12,0,12,3982,18,1,0,0
13,0,13,3982,17,0,1,1
14,0,14,3982,17,0,1,0
15,0,15,3982,17,0,1,0
16,0,16,3982,17,0,1,0
17,0,17,3982,17,0,1,0
18,0,18,3982,17,0,1,0
19,0,19,3982,17,0,1,0
20,0,20,3982,17,0,1,0
21,0,21,3982,17,0,1,0
22,0,22,3981,18,1,1,0
23,0,23,3980,19,1,1,0
24,1,0,3980,19,0,1,0
25,1,1,3980,19,0,1,0
26,1,2,3980,19,0,1,0
27,1,3,3980,19,0,1,0
28,1,4,3980,19,0,1,0
29,1,5,3979,20,1,1,0
30,1,6,3978,21,1,1,0
31,1,7,3978,21,0,1,0
32,1,8,3978,21,0,1,0
33,1,9,3978,20,0,2,1
34,1,10,3978,20,0,2,0
35,1,11,3977,21,1,2,0
36,1,12,3977,21,0,2,0
37,1,13,3976,22,1,2,0
38,1,14,3976,22,0,2,0
39,1,15,3976,22,0,2,0
40,1,16,3976,22,0,2,0
41,1,17,3976,21,0,3,1
42,1,18,3976,21,0,3,0
43,1,19,3976,21,0,3,0
44,1,20,3975,22,1,3,0
45,1,21,3974,23,1,3,0
46,1,22,3974,23,0,3,0
47,1,23,3974,23,0,3,0
48,2,0,3974,23,0,3,0
49,2,1,3974,22,0,4,1
50,2,2,3974,22,0,4,0
51,2,3,3974,22,0,4,0
52,2,4,3974,22,0,4,0
53,2,5,3974,22,0,4,0
54,2,6,3974,22,0,4,0
55,2,7,3973,23,1,4,0
56,2,8,3973,22,0,5,1
57,2,9,3973,22,0,5,0
58,2,10,3973,21,0,6,1
59,2,11,3973,21,0,6,0
60,2,12,3973,21,0,6,0
61,2,13,3973,21,0,6,0
62,2,14,3973,21,0,6,0
63,2,15,3972,21,1,7,1
64,2,16,3972,21,0,7,0
65,2,17,3972,20,0,8,1
66,2,18,3971,21,1,8,0
67,2,19,3971,21,0,8,0
68,2,20,3970,22,1,8,0
69,2,21,3969,23,1,8,0
70,2,22,3968,24,1,8,0
71,2,23,3968,24,0,8,0
72,3,0,3967,25,1,8,0
73,3,1,3967,25,0,8,0
74,3,2,3967,25,0,8,0
75,3,3,3967,25,0,8,0
76,3,4,3967,25,0,8,0
77,3,5,3967,25,0,8,0
78,3,6,3967,25,0,8,0
79,3,7,3967,25,0,8,0
80,3,8,3967,25,0,8,0
81,3,9,3967,25,0,8,0
82,3,10,3967,25,0,8,0
83,3,11,3967,25,0,8,0
84,3,12,3967,25,0,8,0
85,3,13,3967,25,0,8,0
86,3,14,3966,26,1,8,0
87,3,15,3964,28,2,8,0
88,3,16,3963,29,1,8,0
89,3,17,3963,29,0,8,0
90,3,18,3963,28,0,9,1
91,3,19,3962,29,1,9,0
92,3,20,3962,29,0,9,0
93,3,21,3962,29,0,9,0
94,3,22,3962,29,0,9,0
95,3,23,3961,30,1,9,0
96,4,0,3961,30,0,9,0
97,4,1,3959,32,2,9,0
98,4,2,3959,32,0,9,0
99,4,3,3959,32,0,9,0
100,4,4,3958,33,1,9,0
101,4,5,3958,33,0,9,0
102,4,6,3958,33,0,9,0
103,4,7,3958,33,0,9,0
104,4,8,3958,33,0,9,0
105,4,9,3957,33,1,10,1
106,4,10,3956,34,1,10,0
107,4,11,3956,34,0,10,0
108,4,12,3955,35,1,10,0
109,4,13,3955,35,0,10,0
110,4,14,3954,36,1,10,0
111,4,15,3952,38,2,10,0
112,4,16,3950,40,2,10,0
113,4,17,3950,40,0,10,0
114,4,18,3950,40,0,10,0
115,4,19,3949,41,1,10,0
116,4,20,3948,42,1,10,0
117,4,21,3948,42,0,10,0
118,4,22,3948,42,0,10,0
119,4,23,3947,43,1,10,0
120,5,0,3946,44,1,10,0
121,5,1,3946,43,0,11,1
122,5,2,3946,43,0,11,0
123,5,3,3946,42,0,12,1
124,5,4,3945,43,1,12,0
125,5,5,3945,43,0,12,0
126,5,6,3945,43,0,12,0
127,5,7,3944,44,1,12,0
128,5,8,3944,44,0,12,0
129,5,9,3944,44,0,12,0
130,5,10,3944,44,0,12,0
131,5,11,3943,45,1,12,0
132,5,12,3943,45,0,12,0
133,5,13,3943,44,0,13,1
134,5,14,3942,45,1,13,0
135,5,15,3942,45,0,13,0
136,5,16,3941,46,1,13,0
137,5,17,3939,48,2,13,0
138,5,18,3938,49,1,13,0
139,5,19,3937,50,1,13,0
140,5,20,3937,50,0,13,0
141,5,21,3936,51,1,13,0
142,5,22,3936,51,0,13,0
143,5,23,3935,52,1,13,0
144,6,0,3935,51,0,14,1
145,6,1,3933,53,2,14,0
146,6,2,3931,55,2,14,0
147,6,3,3930,56,1,14,0
148,6,4,3929,56,1,15,1
149,6,5,3929,56,0,15,0
150,6,6,3928,57,1,15,0
151,6,7,3927,57,1,16,1
152,6,8,3926,58,1,16,0
153,6,9,3924,60,2,16,0
154,6,10,3921,63,3,16,0
155,6,11,3921,63,0,16,0
156,6,12,3919,65,2,16,0
157,6,13,3918,66,1,16,0
158,6,14,3917,67,1,16,0
159,6,15,3914,69,3,17,1
160,6,16,3910,72,4,18,1
161,6,17,3909,73,1,18,0
162,6,18,3906,76,3,18,0
163,6,19,3903,79,3,18,0
164,6,20,3903,79,0,18,0
165,6,21,3902,80,1,18,0
166,6,22,3901,80,1,19,1
167,6,23,3899,82,2,19,0
168,7,0,3898,82,1,20,1
169,7,1,3896,84,2,20,0
170,7,2,3896,83,0,21,1
171,7,3,3895,84,1,21,0
172,7,4,3894,85,1,21,0
173,7,5,3892,87,2,21,0
174,7,6,3889,90,3,21,0
175,7,7,3886,93,3,21,0
176,7,8,3883,95,3,22,1
177,7,9,3879,97,4,24,2
178,7,10,3876,100,3,24,0
179,7,11,3874,102,2,24,0
180,7,12,3873,103,1,24,0
181,7,13,3872,104,1,24,0
182,7,14,3867,109,5,24,0
183,7,15,3866,110,1,24,0
184,7,16,3864,112,2,24,0
185,7,17,3863,113,1,24,0
186,7,18,3861,114,2,25,1
187,7,19,3860,113,1,27,2
188,7,20,3860,110,0,30,3
189,7,21,3858,112,2,30,0
190,7,22,3855,115,3,30,0
191,7,23,3853,117,2,30,0
192,8,0,3850,120,3,30,0
193,8,1,3845,124,5,31,1
194,8,2,3844,124,1,32,1
195,8,3,3842,124,2,34,2
196,8,4,3840,126,2,34,0
197,8,5,3837,129,3,34,0
198,8,6,3834,130,3,36,2
199,8,7,3832,132,2,36,0
200,8,8,3828,136,4,36,0
201,8,9,3827,135,1,38,2
202,8,10,3827,135,0,38,0
203,8,11,3824,138,3,38,0
204,8,12,3819,142,5,39,1
205,8,13,3817,143,2,40,1
206,8,14,3813,147,4,40,0
207,8,15,3805,154,8,41,1
208,8,16,3798,161,7,41,0
209,8,17,3797,161,1,42,1
210,8,18,3792,165,5,43,1
211,8,19,3788,169,4,43,0
212,8,20,3783,174,5,43,0
213,8,21,3782,175,1,43,0
214,8,22,3779,175,3,46,3
215,8,23,3777,176,2,47,1
216,9,0,3775,178,2,47,0
217,9,1,3773,180,2,47,0
218,9,2,3770,183,3,47,0
219,9,3,3766,186,4,48,1
220,9,4,3765,186,1,49,1
221,9,5,3762,189,3,49,0
222,9,6,3760,190,2,50,1
223,9,7,3752,196,8,52,2
224,9,8,3749,198,3,53,1
225,9,9,3747,199,2,54,1
226,9,10,3744,201,3,55,1
227,9,11,3741,204,3,55,0
228,9,12,3734,211,7,55,0
229,9,13,3732,210,2,58,3
230,9,14,3727,214,5,59,1
231,9,15,3724,215,3,61,2
232,9,16,3716,223,8,61,0
233,9,17,3713,224,3,63,2
234,9,18,3710,226,3,64,1
235,9,19,3708,227,2,65,1
236,9,20,3703,230,5,67,2
237,9,21,3698,235,5,67,0
238,9,22,3694,239,4,67,0
239,9,23,3687,246,7,67,0
240,10,0,3679,254,8,67,0
241,10,1,3677,254,2,69,2
242,10,2,3673,257,4,70,1
243,10,3,3669,259,4,72,2
244,10,4,3665,261,4,74,2
245,10,5,3659,267,6,74,0
246,10,6,3657,267,2,76,2
247,10,7,3650,273,7,77,1
248,10,8,3644,279,6,77,0
249,10,9,3638,284,6,78,1
250,10,10,3634,288,4,78,0
251,10,11,3629,292,5,79,1
252,10,12,3627,292,2,81,2
253,10,13,3619,298,8,83,2
254,10,14,3611,306,8,83,0
255,10,15,3605,310,6,85,2
256,10,16,3597,316,8,87,2
257,10,17,3588,324,9,88,1
258,10,18,3585,326,3,89,1
259,10,19,3579,330,6,91,2
